naim;sum_bal;sum_ost;expr1;expr2;expr3;expr4;expr5;expr6;expr7;expr8;expr9;expr10;expr11;expr12;expr13;expr14;expr15;expr16;expr17;expr18;expr19;expr20;expr21;expr22;expr23;expr24;expr25;expr26
Подъезд к пгт. Кличка;4324087,20;345943,56;345943,56;11608,78;334334,78;11608,78;322726,00;11608,78;311117,22;11608,78;299508,44;11608,78;287899,66;11608,78;276290,88;11608,78;264682,10;11608,78;253073,32;11608,78;241464,54;11608,78;229855,76;9849,58;220006,18;4440,87;215565,31;4440,87
Подъезд к пгт. Ключевский;641956006,68;510779762,75;510779762,75;5229682,83;505550079,92;5229682,83;500320397,09;5229682,83;495090714,26;5229682,83;489861031,43;5229682,83;484631348,60;5229682,83;479401665,77;5229682,83;474171982,94;5229682,83;468942300,11;5229682,83;463712617,28;5229682,83;458482934,45;5229682,83;453253251,62;5229682,83;448023568,79;5229682,83
Подъезд к пгт. Ясногорск;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Абагайтуй;4636731,00;43607,28;43607,28;1809,69;41797,59;1809,69;39987,90;1809,69;38178,21;1809,69;36368,52;1809,69;34558,83;1809,69;32749,14;1809,69;30939,45;1809,69;29129,76;1809,69;27320,07;1809,69;25510,38;1809,69;23700,69;1809,69;21891,00;1809,69
Подъезд к с. Акша;6927249,00;1527287,21;1527287,21;26844,62;1500442,59;26844,62;1473597,97;26844,62;1446753,35;26844,62;1419908,73;26844,62;1393064,11;26844,62;1366219,49;26844,62;1339374,87;26844,62;1312530,25;26844,62;1285685,63;26844,62;1258841,01;26844,62;1231996,39;26844,62;1205151,77;26844,62
Подъезд к с. Алия;2923799,00;52438,68;52438,68;832,43;51606,25;832,43;50773,82;832,43;49941,39;832,43;49108,96;832,43;48276,53;832,43;47444,10;832,43;46611,67;832,43;45779,24;832,43;44946,81;832,43;44114,38;832,43;43281,95;832,43;42449,52;832,43
Подъезд к с. Ара-Иля;9435323,00;352422,77;352422,77;13187,91;339234,86;6853,84;332381,02;6853,84;325527,18;6853,84;318673,34;6853,84;311819,50;6853,84;304965,66;6853,84;298111,82;6853,84;291257,98;6853,84;284404,14;6853,84;277550,30;6853,84;270696,46;6853,84;263842,62;6853,84
Подъезд к с. Арахлей;1265984,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Арта;9554117,00;57302,84;57302,84;1123,02;56179,82;1123,02;55056,80;1123,02;53933,78;1123,02;52810,76;1123,02;51687,74;1123,02;50564,72;1123,02;49441,70;1123,02;48318,68;1123,02;47195,66;1123,02;46072,64;1123,02;44949,62;1123,02;43826,60;1123,02
Подъезд к с. Бада;1299024,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Байгул;11689652,00;647010,39;647010,39;14255,05;632755,34;14255,05;618500,29;14255,05;604245,24;14255,05;589990,19;14255,05;575735,14;14255,05;561480,09;14255,05;547225,04;14255,05;532969,99;14255,05;518714,94;14255,05;504459,89;14255,05;490204,84;14255,05;475949,79;14255,05
Подъезд к с. Байхор;19089,00;626,27;626,27;13,26;613,01;13,26;599,75;13,26;586,49;13,26;573,23;13,26;559,97;13,26;546,71;13,26;533,45;13,26;520,19;13,26;506,93;13,26;493,67;13,26;480,41;13,26;467,15;13,26
Подъезд к с. Бальзино;2319664,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Беклемишево;284038189,14;37822851,23;37822851,23;1262530,55;36560320,68;1262530,55;35297790,13;1262530,55;34035259,58;1262530,55;32772729,03;906503,36;31866225,67;812061,87;31054163,80;812034,10;30242129,70;811735,71;29430393,99;811735,71;28618658,28;811735,71;27806922,57;811735,71;26995186,86;811735,71;26183451,15;811735,71
Подъезд к с. Бишигино;3924415,00;26554,26;26554,26;1346,04;25208,22;1346,04;23862,18;1346,04;22516,14;1346,04;21170,10;1346,04;19824,06;1346,04;18478,02;1346,04;17131,98;1346,04;15785,94;1346,04;14439,90;1346,04;13093,86;1346,04;11747,82;1346,04;10401,78;1346,04
Подъезд к с. Будулан;1465362,00;23501,26;23501,26;7995,11;15506,15;7995,11;7511,04;7511,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Буйлэсан;11889990,00;4601,32;4601,32;57,36;4543,96;57,36;4486,60;57,36;4429,24;57,36;4371,88;57,36;4314,52;57,36;4257,16;57,36;4199,80;57,36;4142,44;57,36;4085,08;57,36;4027,72;57,36;3970,36;57,36;3913,00;57,36
Подъезд к с. Бура;15975715,00;3320806,47;3320806,47;82847,15;3237959,32;82847,15;3155112,17;82847,15;3072265,02;82847,15;2989417,87;82847,15;2906570,72;82847,15;2823723,57;82847,15;2740876,42;82847,15;2658029,27;82847,15;2575182,12;82847,15;2492334,97;82847,15;2409487,82;82847,15;2326640,67;82847,15
Подъезд к с. Васильевский Хутор;1726000,00;195607,40;195607,40;2887,50;192719,90;2887,50;189832,40;2887,50;186944,90;2887,50;184057,40;2887,50;181169,90;2887,50;178282,40;2887,50;175394,90;2887,50;172507,40;2887,50;169619,90;2887,50;166732,40;2887,50;163844,90;2887,50;160957,40;2887,50
Подъезд к с. Верхние Ключи;2569548,00;47633,94;47633,94;3881,98;43751,96;3881,98;39869,98;2592,11;37277,87;2228,38;35049,49;2228,38;32821,11;2228,38;30592,73;2228,38;28364,35;2228,38;26135,97;2228,38;23907,59;2228,38;21679,21;2228,38;19450,83;2228,38;17222,45;2228,38
Подъезд к с. Вершино-Шахтаминский;4520086,00;350030,39;350030,39;24072,58;325957,81;24072,58;301885,23;24072,58;277812,65;24072,58;253740,07;24072,58;229667,49;24072,58;205594,91;10996,44;194598,47;10897,03;183701,44;9181,44;174520,00;5446,91;169073,09;1807,98;167265,11;1807,98;165457,13;1807,98
Подъезд к с. Горный Зерентуй;3144700,00;1331,75;1331,75;30,58;1301,17;30,58;1270,59;30,58;1240,01;30,58;1209,43;30,58;1178,85;30,58;1148,27;30,58;1117,69;30,58;1087,11;30,58;1056,53;30,58;1025,95;30,58;995,37;30,58;964,79;30,58
Подъезд к с. Гунэй;13339997,00;331989,60;331989,60;14817,83;317171,77;10916,96;306254,81;10916,96;295337,85;10895,00;284442,85;10836,28;273606,57;10822,28;262784,29;10800,28;251984,01;10800,28;241183,73;10800,28;230383,45;10800,28;219583,17;10800,28;208782,89;10800,28;197982,61;10800,28
Подъезд к с. Дунаево;914291,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Дурой;1167496,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Елизаветино;75622178,52;1661457,32;1661457,32;89402,07;1572055,25;89402,07;1482653,18;89402,07;1393251,11;89402,07;1303849,04;89402,07;1214446,97;89402,07;1125044,90;89402,07;1035642,83;89402,07;946240,76;89402,07;856838,69;89402,07;767436,62;89402,07;678034,55;89402,07;588632,48;89402,07
Подъезд к с. Зюльзя;19828190,12;226726,21;226726,21;10317,63;216408,58;10317,63;206090,95;10317,63;195773,32;10317,63;185455,69;10317,63;175138,06;10317,63;164820,43;10317,63;154502,80;10317,63;144185,17;10317,63;133867,54;10317,63;123549,91;10317,63;113232,28;10317,63;102914,65;10317,63
Подъезд к с. Илим;16964981,00;11093,73;11093,73;1431,34;9662,39;1431,34;8231,05;1431,34;6799,71;1431,34;5368,37;1431,34;3937,03;1431,34;2505,69;1431,34;1074,35;1074,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Казаковский Промысел;565508,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Казаново (восточный);313633,64;29618,62;29618,62;424,65;29193,97;424,65;28769,32;424,65;28344,67;424,65;27920,02;424,65;27495,37;424,65;27070,72;424,65;26646,07;424,65;26221,42;424,65;25796,77;424,65;25372,12;424,65;24947,47;424,65;24522,82;424,65
Подъезд к с. Кактолга;9831552,00;897430,78;897430,78;46284,76;851146,02;46284,76;804861,26;46284,76;758576,50;46284,76;712291,74;46284,76;666006,98;46284,76;619722,22;46284,76;573437,46;46284,76;527152,70;46284,76;480867,94;46284,76;434583,18;46284,76;388298,42;46284,76;342013,66;46284,76
Подъезд к с. Катаево;3109599,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Ключевское;2996784,00;34249,46;34249,46;1149,09;33100,37;642,88;32457,49;642,88;31814,61;642,88;31171,73;591,02;30580,71;558,69;30022,02;558,69;29463,33;558,69;28904,64;558,69;28345,95;558,69;27787,26;558,69;27228,57;558,69;26669,88;558,69
Подъезд к с. Козлово;13891484,00;1594868,89;1594868,89;64450,12;1530418,77;64419,93;1465998,84;64419,93;1401578,91;64307,71;1337271,20;64039,03;1273232,17;64039,03;1209193,14;64039,03;1145154,11;64039,03;1081115,08;63623,88;1017491,20;62941,63;954549,57;62738,15;891811,42;62738,15;829073,27;62738,15
Подъезд к с. Кокуй 2-й;285206,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Красная Ималка;5594380,68;2127,77;2127,77;26,33;2101,44;26,33;2075,11;26,33;2048,78;26,33;2022,45;26,33;1996,12;26,33;1969,79;26,33;1943,46;26,33;1917,13;26,33;1890,80;26,33;1864,47;26,33;1838,14;26,33;1811,81;26,33
Подъезд к с. Красный Великан;7212310,12;137766,13;137766,13;2421,61;135344,52;2421,61;132922,91;2421,61;130501,30;2421,61;128079,69;2421,61;125658,08;2421,61;123236,47;2421,61;120814,86;2421,61;118393,25;2421,61;115971,64;2421,61;113550,03;2421,61;111128,42;2421,61;108706,81;2230,68
Подъезд к с. Кука (курорт);2489067,74;195961,45;195961,45;13212,60;182748,85;13212,60;169536,25;13212,60;156323,65;13212,60;143111,05;13212,60;129898,45;13212,60;116685,85;13212,60;103473,25;13212,60;90260,65;9252,74;81007,91;5275,10;75732,81;5275,10;70457,71;5275,10;65182,61;5275,10
Подъезд к с. Кулан;90682675,92;11885412,59;11885412,59;508712,07;11376700,52;508712,07;10867988,45;508712,07;10359276,38;508712,07;9850564,31;508712,07;9341852,24;508712,07;8833140,17;508712,07;8324428,10;508712,07;7815716,03;508712,07;7307003,96;508712,07;6798291,89;508712,07;6289579,82;508712,07;5780867,75;413780,77
Подъезд к с. Кункур;3976643,00;15740,54;15740,54;15740,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Курильжа;3302627,00;91023,12;91023,12;1522,95;89500,17;1522,95;87977,22;1522,95;86454,27;1522,95;84931,32;1522,95;83408,37;1522,95;81885,42;1522,95;80362,47;1522,95;78839,52;1522,95;77316,57;1522,95;75793,62;1522,95;74270,67;1522,95;72747,72;1522,95
Подъезд к с. Курлыч;4598962,00;103214,87;103214,87;2636,66;100578,21;2299,50;98278,71;2299,50;95979,21;2299,50;93679,71;2299,50;91380,21;2299,50;89080,71;2299,50;86781,21;2299,50;84481,71;2299,50;82182,21;2299,50;79882,71;2299,50;77583,21;2299,50;75283,71;2299,50
Подъезд к с. Курулга;798885,00;7043,79;7043,79;188,15;6855,64;188,15;6667,49;188,15;6479,34;188,15;6291,19;188,15;6103,04;188,15;5914,89;188,15;5726,74;188,15;5538,59;188,15;5350,44;188,15;5162,29;188,15;4974,14;188,15;4785,99;188,15
Подъезд к с. Кутугай;1100930,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Кыкер;909164,60;28056,85;28056,85;3545,94;24510,91;3545,94;20964,97;3545,94;17419,03;3545,94;13873,09;3545,94;10327,15;3545,94;6781,21;3545,94;3235,27;3235,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Левые Кумаки;3580095,00;20185,20;20185,20;578,45;19606,75;578,45;19028,30;578,45;18449,85;578,45;17871,40;578,45;17292,95;578,45;16714,50;578,45;16136,05;578,45;15557,60;578,45;14979,15;578,45;14400,70;578,45;13822,25;578,45;13243,80;578,45
Подъезд к с. Любовь;3456225,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Манкечур;1542000,00;248565,64;248565,64;3675,01;244890,63;3675,01;241215,62;3675,01;237540,61;3675,01;233865,60;3675,01;230190,59;3675,01;226515,58;3675,01;222840,57;3675,01;219165,56;3675,01;215490,55;3675,01;211815,54;3675,01;208140,53;3675,01;204465,52;3675,01
Подъезд к с. Матусово;1050279,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Митрофаново;200382692,20;108345668,77;108345668,77;1687545,29;106658123,48;1687545,29;104970578,19;1687545,29;103283032,90;1685077,14;101597955,76;1683507,90;99914447,86;1683507,90;98230939,96;1683507,90;96547432,06;1683507,90;94863924,16;1683507,90;93180416,26;1683507,90;91496908,36;1683507,90;89813400,46;1683507,90;88129892,56;1683507,90
Подъезд к с. Михайло-Павловск;14844066,00;482627,26;482627,26;4558,78;478068,48;4558,78;473509,70;4558,78;468950,92;4558,78;464392,14;4558,78;459833,36;4558,78;455274,58;4558,78;450715,80;4558,78;446157,02;4558,78;441598,24;4558,78;437039,46;4558,78;432480,68;4558,78;427921,90;4558,78
Подъезд к с. Мулино;326000,00;36700,51;36700,51;525,00;36175,51;525,00;35650,51;525,00;35125,51;525,00;34600,51;525,00;34075,51;525,00;33550,51;525,00;33025,51;525,00;32500,51;525,00;31975,51;525,00;31450,51;525,00;30925,51;525,00;30400,51;525,00
Подъезд к с. Нижние Ключи;1630932,00;53232,03;53232,03;2698,56;50533,47;2698,56;47834,91;2698,56;45136,35;2698,56;42437,79;2698,56;39739,23;2698,56;37040,67;2698,56;34342,11;2698,56;31643,55;2698,56;28944,99;2698,56;26246,43;2698,56;23547,87;2698,56;20849,31;2698,56
Подъезд к с. Нижний Ильдикан;1378491,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Нижний Калгукан - Верхний Калгукан;5363221,86;526202,68;526202,68;27027,61;499175,07;27027,61;472147,46;27027,61;445119,85;27027,61;418092,24;27027,61;391064,63;27027,61;364037,02;27027,61;337009,41;27027,61;309981,80;27027,61;282954,19;27027,61;255926,58;26836,83;229089,75;26811,49;202278,26;26811,49
Подъезд к с. Николаевка;731142,00;135709,51;135709,51;1671,43;134038,08;1671,43;132366,65;1671,43;130695,22;1671,43;129023,79;1671,43;127352,36;1671,43;125680,93;1671,43;124009,50;1671,43;122338,07;1671,43;120666,64;1671,43;118995,21;1671,43;117323,78;1671,43;115652,35;1671,43
Подъезд к с. Новоильинск;3693732,14;43933,67;43933,67;1477,10;42456,57;1477,10;40979,47;1477,10;39502,37;1477,10;38025,27;1477,10;36548,17;1477,10;35071,07;1477,10;33593,97;1477,10;32116,87;1477,10;30639,77;1477,10;29162,67;1477,10;27685,57;1477,10;26208,47;1477,10
Подъезд к с. Новотроицк;2930068,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Новый Акатуй;669000,00;52966,19;52966,19;787,49;52178,70;787,49;51391,21;787,49;50603,72;787,49;49816,23;787,49;49028,74;787,49;48241,25;787,49;47453,76;787,49;46666,27;787,49;45878,78;787,49;45091,29;787,49;44303,80;787,49;43516,31;787,49
Подъезд к с. Новый Олов;12388113,10;545466,30;545466,30;14560,01;530906,29;14560,01;516346,28;14560,01;501786,27;14560,01;487226,26;14560,01;472666,25;14560,01;458106,24;14560,01;443546,23;14560,01;428986,22;14404,58;414581,64;13940,70;400640,94;13940,70;386700,24;13886,96;372813,28;11942,44
Подъезд к с. Номоконово;531405,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Нуринск;5267502,00;510078,27;510078,27;26685,58;483392,69;24393,48;458999,21;24393,48;434605,73;24393,48;410212,25;24393,48;385818,77;24393,48;361425,29;24393,48;337031,81;24393,48;312638,33;24393,48;288244,85;24393,48;263851,37;24393,48;239457,89;24393,48;215064,41;24393,48
Подъезд к с. Олекан;214611571,83;92143605,73;92143605,73;1501115,30;90642490,43;1501115,30;89141375,13;1501115,30;87640259,83;1501115,30;86139144,53;1501115,30;84638029,23;1501115,30;83136913,93;1501115,30;81635798,63;1501115,30;80134683,33;1501115,30;78633568,03;1501115,30;77132452,73;1501115,30;75631337,43;1501115,26;74130222,17;1395748,24
Подъезд к с. Онон-Борзя;31092362,03;9911280,34;9911280,34;151026,58;9760253,76;150699,28;9609554,48;150699,28;9458855,20;150699,28;9308155,92;150699,28;9157456,64;150699,28;9006757,36;150699,28;8856058,08;150699,28;8705358,80;150699,28;8554659,52;150699,28;8403960,24;150699,28;8253260,96;150699,28;8102561,68;150699,28
Подъезд к с. Ононское;1351431,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Сивяково;21532225,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Средняя Борзя;10164529,00;1249189,17;1249189,17;46499,10;1202690,07;46499,10;1156190,97;46499,10;1109691,87;46499,10;1063192,77;46499,10;1016693,67;46499,10;970194,57;46499,10;923695,47;46499,10;877196,37;45629,16;831567,21;44837,10;786730,11;44837,10;741893,01;44837,10;697055,91;44837,10
Подъезд к с. Староцурухайтуй;65715023,34;14958309,63;14958309,63;190830,57;14767479,06;190830,57;14576648,49;190830,57;14385817,92;190830,57;14194987,35;190830,57;14004156,78;190830,57;13813326,21;190830,57;13622495,64;190830,57;13431665,07;190830,57;13240834,50;190830,57;13050003,93;190830,57;12859173,36;190830,57;12668342,79;190830,57
Подъезд к с. Степной;627240,00;13289,45;13289,45;184,00;13105,45;184,00;12921,45;184,00;12737,45;184,00;12553,45;184,00;12369,45;184,00;12185,45;184,00;12001,45;184,00;11817,45;184,00;11633,45;184,00;11449,45;184,00;11265,45;184,00;11081,45;184,00
Подъезд к с. Сыпчегур;27306506,40;8211126,34;8211126,34;107191,39;8103934,95;107191,39;7996743,56;107191,39;7889552,17;107191,39;7782360,78;107191,39;7675169,39;107191,39;7567978,00;107191,39;7460786,61;97721,74;7363064,87;83077,15;7279987,72;83077,15;7196910,57;83077,15;7113833,42;83077,15;7030756,27;83077,15
Подъезд к с. Талман-Борзя;4165771,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Тарбагатай;7932534,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Узон;7738651,00;45462,26;45462,26;779,75;44682,51;779,75;43902,76;779,75;43123,01;779,75;42343,26;779,75;41563,51;779,75;40783,76;779,75;40004,01;779,75;39224,26;779,75;38444,51;779,75;37664,76;779,75;36885,01;779,75;36105,26;779,75
Подъезд к с. Укурей;9164960,00;457137,07;457137,07;9331,00;447806,07;9331,00;438475,07;9331,00;429144,07;9331,00;419813,07;9331,00;410482,07;9331,00;401151,07;9331,00;391820,07;9331,00;382489,07;9331,00;373158,07;9331,00;363827,07;9331,00;354496,07;9331,00;345165,07;9331,00
Подъезд к с. Улача;1073628,00;77817,34;77817,34;5038,36;72778,98;5038,36;67740,62;5038,36;62702,26;5038,36;57663,90;5038,36;52625,54;5038,36;47587,18;5038,36;42548,82;5038,36;37510,46;5038,36;32472,10;5038,36;27433,74;5038,36;22395,38;5038,36;17357,02;5038,36
Подъезд к с. Улеты;2628105,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Ульякан;247566010,00;235187709,64;235187709,64;1031525,03;234156184,61;1031525,03;233124659,58;1031525,03;232093134,55;1031525,03;231061609,52;1031525,03;230030084,49;1031525,03;228998559,46;1031525,03;227967034,43;1031525,03;226935509,40;1031525,03;225903984,37;1031525,03;224872459,34;1031525,03;223840934,31;1031525,03;222809409,28;1031525,03
Подъезд к с. Урейск;235533,00;34687,29;34687,29;532,74;34154,55;532,74;33621,81;532,74;33089,07;532,74;32556,33;532,74;32023,59;532,74;31490,85;532,74;30958,11;532,74;30425,37;532,74;29892,63;532,74;29359,89;532,74;28827,15;532,74;28294,41;532,74
Подъезд к с. Урульга;7310961,00;144059,50;144059,50;4520,53;139538,97;4520,53;135018,44;4520,53;130497,91;4520,53;125977,38;4520,53;121456,85;4520,53;116936,32;4520,53;112415,79;4520,53;107895,26;4520,53;103374,73;4520,53;98854,20;4520,53;94333,67;4520,53;89813,14;4520,53
Подъезд к с. Усть-Теленгуй;1321716,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Хада-Булак;2802173,27;46764,29;46764,29;1589,83;45174,46;1589,83;43584,63;1589,83;41994,80;1589,83;40404,97;1589,83;38815,14;1589,83;37225,31;1589,83;35635,48;1589,83;34045,65;1589,83;32455,82;1589,83;30865,99;1589,83;29276,16;1589,83;27686,33;1589,83
Подъезд к с. Харауз;2714465,00;2737,36;2737,36;42,09;2695,27;42,09;2653,18;42,09;2611,09;42,09;2569,00;42,09;2526,91;42,09;2484,82;42,09;2442,73;42,09;2400,64;42,09;2358,55;42,09;2316,46;42,09;2274,37;42,09;2232,28;42,09
Подъезд к с. Холуй-База;4811177,00;6892,58;6892,58;86,77;6805,81;86,77;6719,04;86,77;6632,27;86,77;6545,50;86,77;6458,73;86,77;6371,96;86,77;6285,19;86,77;6198,42;86,77;6111,65;86,77;6024,88;86,77;5938,11;86,77;5851,34;86,77
Подъезд к с. Цаган-Челутай;1983385,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Цугол;20512103,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Челутай;4711544,00;570999,08;570999,08;25668,67;545330,41;25668,67;519661,74;25668,67;493993,07;25668,67;468324,40;25668,67;442655,73;25668,67;416987,06;25668,67;391318,39;24218,17;367100,22;20668,67;346431,55;20668,67;325762,88;20668,67;305094,21;20668,67;284425,54;20668,67
Подъезд к с. Чингильтуй;2562961,00;115299,13;115299,13;4252,40;111046,73;4252,40;106794,33;4252,40;102541,93;4252,40;98289,53;4252,40;94037,13;4252,40;89784,73;4252,40;85532,33;4252,40;81279,93;4166,41;77113,52;4087,40;73026,12;4087,40;68938,72;4087,40;64851,32;4087,40
Подъезд к с. Чиндагатай;1740,00;197,81;197,81;3,78;194,03;3,78;190,25;3,78;186,47;3,78;182,69;3,78;178,91;3,78;175,13;3,78;171,35;3,78;167,57;3,78;163,79;3,78;160,01;3,78;156,23;3,78;152,45;3,78
Подъезд к с. Чиндант 1-й;793295,00;490,21;490,21;6,45;483,76;6,45;477,31;6,45;470,86;6,45;464,41;6,45;457,96;6,45;451,51;6,45;445,06;6,45;438,61;6,45;432,16;6,45;425,71;6,45;419,26;6,45;412,81;6,45
Подъезд к с. Чиндант 2-й;7817983,00;7454,37;7454,37;696,45;6757,92;696,45;6061,47;696,45;5365,02;696,45;4668,57;696,45;3972,12;696,45;3275,67;696,45;2579,22;696,45;1882,77;696,45;1186,32;696,45;489,87;489,87;0,00;0,00;0,00;0,00
Подъезд к с. Шара;5201552,00;37477,70;37477,70;8293,17;29184,53;8293,17;20891,36;8293,17;12598,19;6028,72;6569,47;921,23;5648,24;921,23;4727,01;921,23;3805,78;921,23;2884,55;508,34;2376,21;156,23;2219,98;156,23;2063,75;156,23;1907,52;156,23
Подъезд к с. Шивия;1648644,00;25,12;25,12;7,47;17,65;7,47;10,18;7,47;2,71;2,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Широкая;3825717,00;235865,22;235865,22;9273,12;226592,10;9273,12;217318,98;9273,12;208045,86;9273,12;198772,74;9273,12;189499,62;9273,12;180226,50;9273,12;170953,38;9273,12;161680,26;9273,12;152407,14;4406,41;148000,73;4000,03;144000,70;4000,03;140000,67;4000,03
Подъезд к с. Шишкино;28771308,86;4014,69;4014,69;498,00;3516,69;498,00;3018,69;498,00;2520,69;498,00;2022,69;498,00;1524,69;498,00;1026,69;498,00;528,69;498,00;30,69;30,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
