naim;sum_bal;sum_ost;expr1;expr2;expr3;expr4;expr5;expr6;expr7;expr8;expr9;expr10;expr11;expr12;expr13;expr14;expr15;expr16;expr17;expr18;expr19;expr20;expr21;expr22;expr23;expr24;expr25;expr26
Забайкальск - Приаргунск;99949303,15;6635844,10;6635844,10;117338,18;6518505,92;109385,25;6409120,67;109385,25;6299735,42;109385,25;6190350,17;106294,65;6084055,52;106247,20;5977808,32;106247,20;5871561,12;106247,20;5765313,92;106247,20;5659066,72;106247,20;5552819,52;106247,20;5446572,32;106247,20;5340325,12;106247,20
Закульта - граница с Бурятией;162583,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Ивановка - Александровский Завод - Борзя;315093552,13;61240064,30;61240064,30;772673,47;60467390,83;772673,47;59694717,36;772673,47;58922043,89;772673,47;58149370,42;772673,47;57376696,95;772673,47;56604023,48;772673,47;55831350,01;772673,47;55058676,54;772538,38;54286138,16;772227,56;53513910,60;772091,87;52741818,73;772053,56;51969765,17;772053,56
Калангуй - Турга;2820386,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Калга - Приаргунск;57561958,41;4717389,23;4717389,23;107927,68;4609461,55;100975,34;4508486,21;100975,34;4407510,87;100975,34;4306535,53;100975,34;4205560,19;100975,34;4104584,85;100975,34;4003609,51;100975,34;3902634,17;100842,93;3801791,24;100720,34;3701070,90;100720,34;3600350,56;100720,34;3499630,22;100720,34
Калинино - Волочаевка;16165176,00;393972,15;393972,15;7833,82;386138,33;7833,82;378304,51;7833,82;370470,69;7833,82;362636,87;7833,82;354803,05;7833,82;346969,23;7833,82;339135,41;7833,82;331301,59;7833,82;323467,77;7271,12;316196,65;4776,58;311420,07;3235,14;308184,93;3235,14
Карымская - Олентуй;13366569,36;840980,31;840980,31;30223,61;810756,70;30223,61;780533,09;30223,61;750309,48;30223,61;720085,87;30223,61;689862,26;30223,61;659638,65;30223,61;629415,04;30223,61;599191,43;30223,61;568967,82;30223,61;538744,21;30223,61;508520,60;30223,61;478296,99;30223,61
Кличка - Маргуцек;5258510,00;49708,64;49708,64;10094,33;39614,31;10094,33;29519,98;8565,78;20954,20;473,72;20480,48;473,72;20006,76;473,72;19533,04;473,72;19059,32;473,72;18585,60;473,72;18111,88;473,72;17638,16;473,72;17164,44;473,72;16690,72;473,72
Копунь - Малый Тонтой;656076,95;681,41;681,41;14,03;667,38;14,03;653,35;14,03;639,32;14,03;625,29;14,03;611,26;14,03;597,23;14,03;583,20;14,03;569,17;14,03;555,14;14,03;541,11;14,03;527,08;14,03;513,05;14,03
Коротково - Менза;53935726,00;4703571,48;4703571,48;137389,14;4566182,34;137389,14;4428793,20;137389,14;4291404,06;137389,14;4154014,92;137389,14;4016625,78;137389,14;3879236,64;137389,14;3741847,50;137389,14;3604458,36;137389,14;3467069,22;137389,14;3329680,08;137389,14;3192290,94;137389,14;3054901,80;137242,52
